"NOM_DE_L'EMPLACEMENT","PROVINCE_OU_TERRITOIRE","GROUPE_D'ÉLÉMENTS","ÉLÉMENT_DES_NORMALES","janv.","févr.","mars","avr.","mai","juin","juil.","août","sept.","oct.","nov.","déc.","année","code"
"BAKER LAKE","NU","Jours avec ...","Pluie verglaçante ou bruine verglaçante","0,17","0,03","0,07","0,73","1,7","0,60","0,0","0,0","0,43","1,9","0,40","0,20","6,3","A"
"BAKER LAKE","NU","Jours avec ...","Orages","0,0","0,0","0,0","0,0","0,03","0,23","1,0","0,70","0,37","0,0","0,03","0,0","2,4","A"
"BAKER LAKE","NU","Jours avec ...","Grêle","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,07","0,0","0,0","0,0","0,0","0,07","A"
"BAKER LAKE","NU","Jours avec ...","Brouillard, brouillard glacé, frimas","0,83","0,70","0,80","1,5","2,2","1,8","2,5","0,90","0,97","1,6","0,80","0,80","15,4","A"
"BAKER LAKE","NU","Jours avec ...","Fumée ou brume sêche","0,0","0,0","0,0","0,0","0,0","0,07","0,27","0,27","0,03","0,0","0,03","0,10","0,77","A"
"BAKER LAKE","NU","Jours avec température maximale","Jours avec température maximale <= -30 °C","13,6","11,2","4,3","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,25","5,9","35,2","C"
"BAKER LAKE","NU","Jours avec température maximale","Jours avec température maximale <= -20 °C","25,5","24,2","19,0","3,4","0,0","0,0","0,0","0,0","0,0","0,0","7,5","19,2","98,8","C"
"BAKER LAKE","NU","Jours avec température maximale","Jours avec température maximale <= -10 °C","30,6","28,2","28,9","19,0","3,1","0,0","0,0","0,0","0,0","3,2","22,3","28,7","163,9","C"
"BAKER LAKE","NU","Jours avec température maximale","Jours avec température maximale <= 0 °C","31,0","28,4","30,9","29,2","19,6","0,64","0,0","0,0","1,6","22,4","29,9","31,0","224,6","C"
"BAKER LAKE","NU","Jours avec température maximale","Jours avec température maximale > 0 °C","0,0","0,0","0,08","0,80","11,4","29,4","31,0","31,0","28,4","8,6","0,08","0,04","140,8","C"
"BAKER LAKE","NU","Jours avec température maximale","Jours avec température maximale > 10 °C","0,0","0,0","0,0","0,0","0,17","13,7","30,0","26,6","7,0","0,04","0,0","0,0","77,5","C"
"BAKER LAKE","NU","Jours avec température maximale","Jours avec température maximale > 20 °C","0,0","0,0","0,0","0,0","0,0","1,6","9,1","3,7","0,17","0,0","0,0","0,0","14,5","C"
"BAKER LAKE","NU","Jours avec température maximale","Jours avec température maximale > 30 °C","0,0","0,0","0,0","0,0","0,0","0,04","0,15","0,05","0,0","0,0","0,0","0,0","0,24","C"
"BAKER LAKE","NU","Jours avec température maximale","Jours avec température maximale > 35 °C","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","C"
"BAKER LAKE","NU","Jours avec température maximale","Jours avec température maximale > 40 °C","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","C"
"BAKER LAKE","NU","Jours avec température minimale","Jours avec température minimale > 20 °C","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","C"
"BAKER LAKE","NU","Jours avec température minimale","Jours avec température minimale > 10 °C","0,0","0,0","0,0","0,0","0,0","0,19","3,9","2,0","0,07","0,0","0,0","0,0","6,1","C"
"BAKER LAKE","NU","Jours avec température minimale","Jours avec température minimale > 0 °C","0,0","0,0","0,0","0,0","1,3","19,8","30,9","30,3","15,1","1,1","0,0","0,0","98,4","C"
"BAKER LAKE","NU","Jours avec température minimale","Jours avec température minimale <= 2 °C","31,0","28,4","31,0","30,0","31,0","20,8","1,5","4,2","21,4","30,9","30,0","31,0","291,1","C"
"BAKER LAKE","NU","Jours avec température minimale","Jours avec température minimale <= 0 °C","31,0","28,4","31,0","30,0","29,7","10,2","0,07","0,75","14,9","29,9","30,0","31,0","266,9","C"
"BAKER LAKE","NU","Jours avec température minimale","Jours avec température minimale < -2 °C","31,0","28,4","31,0","29,9","26,9","3,8","0,0","0,04","7,9","27,5","30,0","31,0","247,4","C"
"BAKER LAKE","NU","Jours avec température minimale","Jours avec température minimale < -10 °C","31,0","28,4","30,9","28,2","13,6","0,07","0,0","0,0","0,13","12,6","28,3","30,8","203,9","C"
"BAKER LAKE","NU","Jours avec température minimale","Jours avec température minimale < -20 °C","30,3","28,1","27,8","18,4","1,6","0,0","0,0","0,0","0,0","1,5","20,5","27,9","156,1","C"
"BAKER LAKE","NU","Jours avec température minimale","Jours avec température minimale < -30 °C","25,2","22,5","18,1","2,4","0,0","0,0","0,0","0,0","0,0","0,0","3,4","16,3","87,8","C"
"BAKER LAKE","NU","Jours avec température minimale","Jours avec température minimale < -40 °C","5,1","3,7","1,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,81","10,9","C"
"BAKER LAKE","NU","Jours avec pluie","Jours avec pluie >= 0,2 mm","0,0","0,0","0,0","0,14","2,0","7,0","9,0","10,7","9,5","2,3","0,0","0,06","40,5","D"
"BAKER LAKE","NU","Jours avec pluie","Jours avec pluie >= 5 mm","0,0","0,0","0,0","0,0","0,09","1,2","2,3","3,0","2,5","0,35","0,0","0,0","9,4","D"
"BAKER LAKE","NU","Jours avec pluie","Jours avec pluie >= 10 mm","0,0","0,0","0,0","0,0","0,05","0,30","1,0","1,6","1,2","0,09","0,0","0,0","4,2","D"
"BAKER LAKE","NU","Jours avec pluie","Jours avec pluie >= 25 mm","0,0","0,0","0,0","0,0","0,0","0,04","0,20","0,20","0,15","0,0","0,0","0,0","0,59","D"
"BAKER LAKE","NU","Jours avec pluie","Jours avec pluie >= 50 mm","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,05","0,0","0,0","0,0","0,05","D"
"BAKER LAKE","NU","Jours avec pluie","Jours avec pluie >= 100 mm","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","D"
"BAKER LAKE","NU","Jours avec neige","Jours avec neige >= 0,2 cm","5,6","5,5","6,8","7,0","5,9","1,3","0,0","0,04","3,2","10,8","10,3","7,4","63,9","D"
"BAKER LAKE","NU","Jours avec neige","Jours avec neige >= 5 cm","0,05","0,47","0,36","0,68","0,86","0,08","0,0","0,0","0,45","1,1","0,86","0,39","5,3","D"
"BAKER LAKE","NU","Jours avec neige","Jours avec neige >= 10 cm","0,0","0,0","0,0","0,14","0,18","0,0","0,0","0,0","0,15","0,13","0,14","0,0","0,74","D"
"BAKER LAKE","NU","Jours avec neige","Jours avec neige >= 25 cm","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,04","0,0","0,0","0,04","D"
"BAKER LAKE","NU","Jours avec neige","Jours avec neige >= 40 cm","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","D"
"BAKER LAKE","NU","Jours avec précipitation","Jours avec précipitation >= 0,2 mm","7,4","5,8","8,2","6,6","7,2","8,0","8,6","11,6","11,5","12,8","10,3","9,1","107,1","D"
"BAKER LAKE","NU","Jours avec précipitation","Jours avec précipitation >= 1 mm","2,6","1,8","3,4","3,3","3,8","4,4","5,1","7,2","7,7","6,7","5,2","3,9","55,1","D"
"BAKER LAKE","NU","Jours avec précipitation","Jours avec précipitation >= 5 mm","0,05","0,32","0,38","0,67","1,0","1,4","2,1","3,0","2,8","1,3","0,54","0,33","13,8","D"
"BAKER LAKE","NU","Jours avec précipitation","Jours avec précipitation >= 10 mm","0,0","0,0","0,0","0,13","0,23","0,52","0,96","1,5","1,4","0,36","0,08","0,04","5,3","D"
"BAKER LAKE","NU","Jours avec précipitation","Jours avec précipitation >= 25 mm","0,0","0,0","0,0","0,0","0,0","0,04","0,20","0,18","0,15","0,04","0,0","0,0","0,61","D"
"BAKER LAKE","NU","Jours avec précipitation","Jours avec précipitation >= 50 mm","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,04","0,0","0,0","0,0","0,04","D"
"BAKER LAKE","NU","Jours avec précipitation","Jours avec précipitation >= 100 mm","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","D"
"BAKER LAKE","NU","Jours avec épaisseur de neige","Jours avec épaisseur de neige >= 1 cm","31,0","28,3","31,0","30,0","31,0","14,6","0,74","0,0","1,1","21,4","29,6","31,0","249,7","D"
"BAKER LAKE","NU","Jours avec épaisseur de neige","Jours avec épaisseur de neige >= 5 cm","31,0","28,3","31,0","30,0","30,0","9,0","0,0","0,0","0,19","8,8","26,9","31,0","226,2","D"
"BAKER LAKE","NU","Jours avec épaisseur de neige","Jours avec épaisseur de neige >= 10 cm","31,0","28,3","31,0","30,0","29,4","5,5","0,0","0,0","0,19","4,8","17,0","29,7","206,9","D"
"BAKER LAKE","NU","Jours avec épaisseur de neige","Jours avec épaisseur de neige >= 20 cm","22,8","26,0","31,0","29,2","26,0","2,3","0,0","0,0","0,14","1,8","6,6","14,9","160,5","D"
"BAKER LAKE","NU","Jours avec épaisseur de neige","Jours avec épaisseur de neige >= 30 cm","13,3","16,0","22,9","22,8","15,4","0,05","0,0","0,0","0,0","0,81","1,5","5,1","97,8","D"
"BAKER LAKE","NU","Jours avec épaisseur de neige","Jours avec épaisseur de neige >= 50 cm","1,6","3,4","4,2","3,8","3,8","0,0","0,0","0,0","0,0","0,0","0,45","1,9","19,2","D"
"BAKER LAKE","NU","Jours avec épaisseur de neige","Jours avec épaisseur de neige >= 100 cm","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","D"
"BAKER LAKE","NU","Vent","Vitesse horaire moyenne du vent (km/h)","22,9","23,2","21,0","21,1","20,3","16,7","15,9","18,2","19,9","21,9","21,6","22,8","20,5","A"
