"NOM_DE_L'EMPLACEMENT","PROVINCE_OU_TERRITOIRE","GROUPE_D'ÉLÉMENTS","ÉLÉMENT_DES_NORMALES","janv.","févr.","mars","avr.","mai","juin","juil.","août","sept.","oct.","nov.","déc.","année","code"
"BAGOTVILLE","QC","Jours avec température minimale","Jours avec température minimale > 0 °C","0,07","0,03","1,1","7,4","25,1","29,8","31,0","31,0","28,0","18,7","4,7","0,37","177,3","A"
"BAGOTVILLE","QC","Jours avec température minimale","Jours avec température minimale <= 2 °C","31,0","28,2","30,9","27,4","10,9","0,80","0,0","0,0","4,6","17,7","28,1","31,0","210,6","A"
"BAGOTVILLE","QC","Jours avec température minimale","Jours avec température minimale <= 0 °C","30,9","28,2","29,9","22,6","5,9","0,17","0,0","0,0","2,0","12,3","25,3","30,6","188,0","A"
"BAGOTVILLE","QC","Jours avec température minimale","Jours avec température minimale < -2 °C","30,7","27,8","28,0","15,7","2,2","0,03","0,0","0,0","0,45","6,4","20,3","29,4","160,9","A"
"BAGOTVILLE","QC","Jours avec température minimale","Jours avec température minimale < -10 °C","26,8","23,9","18,0","2,7","0,0","0,0","0,0","0,0","0,0","0,07","5,8","20,4","97,6","A"
"BAGOTVILLE","QC","Jours avec température minimale","Jours avec température minimale < -20 °C","17,3","13,3","4,8","0,07","0,0","0,0","0,0","0,0","0,0","0,0","0,28","7,3","43,1","A"
"BAGOTVILLE","QC","Jours avec température minimale","Jours avec température minimale < -30 °C","3,8","1,5","0,13","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,60","6,0","A"
"BAGOTVILLE","QC","Jours avec température minimale","Jours avec température minimale < -40 °C","0,03","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,03","A"
"BAGOTVILLE","QC","Jours avec pluie","Jours avec pluie >= 0,2 mm","2,0","1,5","3,9","10,0","14,9","14,7","16,7","16,3","15,1","15,9","8,3","3,2","122,5","A"
"BAGOTVILLE","QC","Jours avec pluie","Jours avec pluie >= 5 mm","0,40","0,30","1,3","2,7","5,3","5,9","6,9","6,2","6,2","5,4","2,2","0,87","43,6","A"
"BAGOTVILLE","QC","Jours avec pluie","Jours avec pluie >= 10 mm","0,20","0,13","0,47","0,97","2,2","3,1","3,7","3,3","3,7","2,8","0,93","0,27","21,8","A"
"BAGOTVILLE","QC","Jours avec pluie","Jours avec pluie >= 25 mm","0,0","0,0","0,0","0,07","0,20","0,40","0,77","0,60","0,76","0,40","0,03","0,0","3,2","A"
"BAGOTVILLE","QC","Jours avec pluie","Jours avec pluie >= 50 mm","0,0","0,0","0,0","0,0","0,0","0,03","0,10","0,07","0,10","0,0","0,0","0,0","0,30","A"
"BAGOTVILLE","QC","Jours avec pluie","Jours avec pluie >= 100 mm","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","A"
"BAGOTVILLE","QC","Jours avec neige","Jours avec neige >= 0,2 cm","18,7","15,2","13,4","7,7","0,87","0,0","0,0","0,0","0,03","3,2","12,7","19,2","90,9","A"
"BAGOTVILLE","QC","Jours avec neige","Jours avec neige >= 5 cm","3,7","3,3","3,6","1,3","0,23","0,0","0,0","0,0","0,0","0,57","2,6","4,3","19,7","A"
"BAGOTVILLE","QC","Jours avec neige","Jours avec neige >= 10 cm","1,3","1,4","1,0","0,57","0,13","0,0","0,0","0,0","0,0","0,13","0,76","1,5","6,7","A"
"BAGOTVILLE","QC","Jours avec neige","Jours avec neige >= 25 cm","0,10","0,07","0,03","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,07","0,03","0,30","A"
"BAGOTVILLE","QC","Jours avec neige","Jours avec neige >= 40 cm","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","A"
"BAGOTVILLE","QC","Jours avec précipitation","Jours avec précipitation >= 0,2 mm","19,0","15,5","15,2","14,6","15,2","14,7","16,7","16,3","15,1","17,5","18,2","20,0","198,0","A"
"BAGOTVILLE","QC","Jours avec précipitation","Jours avec précipitation >= 1 mm","12,3","10,3","10,7","10,5","11,8","11,4","13,3","12,7","11,8","12,5","12,2","13,5","143,1","A"
"BAGOTVILLE","QC","Jours avec précipitation","Jours avec précipitation >= 5 mm","3,3","2,8","4,3","4,2","5,6","5,9","6,9","6,2","6,2","6,0","4,6","4,4","60,5","A"
"BAGOTVILLE","QC","Jours avec précipitation","Jours avec précipitation >= 10 mm","1,4","1,1","1,5","1,6","2,4","3,1","3,7","3,3","3,7","3,1","1,6","1,4","27,8","A"
"BAGOTVILLE","QC","Jours avec précipitation","Jours avec précipitation >= 25 mm","0,07","0,07","0,07","0,10","0,20","0,40","0,77","0,60","0,76","0,40","0,14","0,07","3,7","A"
"BAGOTVILLE","QC","Jours avec précipitation","Jours avec précipitation >= 50 mm","0,0","0,0","0,0","0,0","0,0","0,03","0,10","0,07","0,10","0,0","0,0","0,0","0,30","A"
"BAGOTVILLE","QC","Jours avec précipitation","Jours avec précipitation >= 100 mm","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","A"
"BAGOTVILLE","QC","Jours avec épaisseur de neige","Jours avec épaisseur de neige >= 1 cm","31,0","28,3","31,0","20,1","0,81","0,0","0,0","0,0","0,0","1,4","14,4","29,4","156,3","A"
"BAGOTVILLE","QC","Jours avec épaisseur de neige","Jours avec épaisseur de neige >= 5 cm","31,0","28,2","30,7","16,9","0,37","0,0","0,0","0,0","0,0","0,41","8,8","27,9","144,3","A"
"BAGOTVILLE","QC","Jours avec épaisseur de neige","Jours avec épaisseur de neige >= 10 cm","30,8","27,8","30,0","14,0","0,11","0,0","0,0","0,0","0,0","0,0","5,4","25,7","133,7","A"
"BAGOTVILLE","QC","Jours avec épaisseur de neige","Jours avec épaisseur de neige >= 20 cm","28,7","27,1","27,5","10,1","0,0","0,0","0,0","0,0","0,0","0,0","1,8","16,7","112,0","A"
"BAGOTVILLE","QC","Jours avec épaisseur de neige","Jours avec épaisseur de neige >= 30 cm","24,6","24,9","24,4","7,7","0,0","0,0","0,0","0,0","0,0","0,0","0,69","10,2","92,5","A"
"BAGOTVILLE","QC","Jours avec épaisseur de neige","Jours avec épaisseur de neige >= 50 cm","14,0","17,0","15,5","3,3","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,0","51,9","A"
"BAGOTVILLE","QC","Jours avec épaisseur de neige","Jours avec épaisseur de neige >= 100 cm","0,40","1,5","2,3","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","4,1","A"
"BAGOTVILLE","QC","Vent","Vitesse horaire moyenne du vent (km/h)","16,0","16,3","16,8","17,1","15,9","13,9","12,2","11,7","12,8","15,1","16,0","15,3","14,9","A"
"BAGOTVILLE","QC","Vent","Direction dominante du vent","O","O","O","O","E","O","O","O","O","O","O","O","O","A"
"BAGOTVILLE","QC","Vent","Jours avec vitesse du vent >= 52 km/h","2,5","2,2","2,6","1,6","1,3","0,50","0,73","0,50","0,89","0,83","2,3","2,4","18,4","A"
